编号,时间,星期,季节,设备位置,设备名称,设备唯一标识符,设备状态
137,2016/2/23 7:42,2,winter,Washroom,heater,8,OFF
138,2016/2/23 7:58,2,winter,kitchen,electric_cookers,9,OFF
139,2016/2/23 8:34,2,winter,living_room,TV,5,OFF
140,2016/2/23 8:34,2,winter,living_room,soft_music,6,OFF
141,2016/2/23 8:34,2,winter,living_room,air_conditioner,3,OFF
142,2016/2/23 8:34,2,winter,bedroom,light,7,OFF
143,2016/2/23 8:34,2,winter,living_room,light,1,OFF
144,2016/2/23 11:35,2,winter,living_room,soft_music,6,ON
145,2016/2/23 11:35,2,winter,living_room,air_conditioner,3,ON
146,2016/2/23 14:32,2,winter,living_room,soft_music,6,OFF
147,2016/2/23 14:32,2,winter,living_room,air_conditioner,3,OFF
148,2016/2/23 17:36,2,winter,living_room,light,1,ON
149,2016/2/23 17:36,2,winter,living_room,air_conditioner,3,ON
150,2016/2/23 17:37,2,winter,study,curtain,4,OFF
151,2016/2/23 17:37,2,winter,kitchen,electric_cookers,9,ON
152,2016/2/23 17:37,2,winter,living_room,TV,5,ON
153,2016/2/23 18:32,2,winter,kitchen,electric_cookers,9,OFF
154,2016/2/23 21:03,2,winter,bedroom,light,7,ON
155,2016/2/23 21:03,2,winter,Washroom,heater,8,ON
156,2016/2/23 21:11,2,winter,Washroom,heater,8,OFF
157,2016/2/23 21:31,2,winter,living_room,TV,5,OFF
158,2016/2/23 21:31,2,winter,living_room,air_conditioner,3,OFF
159,2016/2/23 21:31,2,winter,living_room,light,1,OFF
160,2016/2/23 21:31,2,winter,bedroom,light,7,OFF
